route_id,start_location,end_location,transport_mode,filename
accc1702-bb7f-4080-8145-30c503d88414,Jaipur,New Delhi,auto,accc1702-bb7f-4080-8145-30c503d88414.geojson
ee4b4ff0-d86e-446c-8c99-0d8a17b0538b,Jaipur,Jaipur,auto,ee4b4ff0-d86e-446c-8c99-0d8a17b0538b.geojson
79e36ef6-100b-493b-a587-0dac56d1416c,New Delhi,Agra,auto,79e36ef6-100b-493b-a587-0dac56d1416c.geojson
4353f3cc-3987-453c-bb63-969e006d468f,Jaipur,Agra,auto,4353f3cc-3987-453c-bb63-969e006d468f.geojson
4dbfdf96-30ea-407b-8ab3-e6d60f8f9cb6,Calicut,Fort Cochin,auto,4dbfdf96-30ea-407b-8ab3-e6d60f8f9cb6.geojson
7a957094-a1db-46d8-bc2b-082910d2028e,Fort Cochin,Alleppey,auto,7a957094-a1db-46d8-bc2b-082910d2028e.geojson
fc981513-ee74-4a1c-9ee3-71440c9d1c13,Allepy,Bangalore,auto,fc981513-ee74-4a1c-9ee3-71440c9d1c13.geojson
5e34b6d4-578b-4770-988e-7db424f1ca15,Bangalore,Mysore,auto,5e34b6d4-578b-4770-988e-7db424f1ca15.geojson
cd97717c-28c7-4a1c-8d3d-6d55eb27c1e9,Mysore,Gokarna,auto,cd97717c-28c7-4a1c-8d3d-6d55eb27c1e9.geojson
924b9c99-5104-4144-8ad6-93777c8fa2e3,Gokarna,Panaji,auto,924b9c99-5104-4144-8ad6-93777c8fa2e3.geojson
4e6d134f-4ada-488b-98c9-1160ca93e198,Bangalore,Anjuna,auto,4e6d134f-4ada-488b-98c9-1160ca93e198.geojson
8035d936-1300-4b40-bede-70e0cb3bf78f,Anjuna,Panaji,auto,8035d936-1300-4b40-bede-70e0cb3bf78f.geojson
4b070063-7b41-4431-b131-e0c273020216,Pushkar,Ajmer Junction,auto,4b070063-7b41-4431-b131-e0c273020216.geojson
85a61321-6e6e-4a05-a2fb-db17419f7d62,Jaipur,Jodhpur,auto,85a61321-6e6e-4a05-a2fb-db17419f7d62.geojson
574a2e4b-b4ea-4149-8a1f-3cdd40dab4ef,Jaipur,Jawanpura,auto,574a2e4b-b4ea-4149-8a1f-3cdd40dab4ef.geojson
d8f2c60d-1d3c-491c-9519-afc97b6688e1,Jaipur,Bikaner,auto,d8f2c60d-1d3c-491c-9519-afc97b6688e1.geojson
3f582bc5-7817-46e0-8857-beecdc047e6f,Jaipur,Udaipur,auto,3f582bc5-7817-46e0-8857-beecdc047e6f.geojson
e1cb8410-64bc-4e6f-b83c-bc02255d3a60,Udaipur,Jodhpur,auto,e1cb8410-64bc-4e6f-b83c-bc02255d3a60.geojson
570fe5ae-9bab-4a28-9cfc-6ad354784dc6,Amritsar,"Manali, HImachal Pradesh",auto,570fe5ae-9bab-4a28-9cfc-6ad354784dc6.geojson
dd67df4d-d1d7-4533-81fe-8b53bfe1b6aa,"Manali, HImachal Pradesh",New Delhi,auto,dd67df4d-d1d7-4533-81fe-8b53bfe1b6aa.geojson
72c1e7e9-3717-4b76-8b01-64eb53691c07,Table Mountain,Table Mountain,hike,hike_table_mountain.geojson
f46ea3f0-7ac8-4633-9533-8592f662a476,Mt Mansfield,Mt Mansfield,hike,hike_mansfield.geojson
84366ba1-1206-4a45-a2ee-27f4cf174fb9,St John,St John,hike,hike_stj.geojson
8bbefed8-13a0-44d9-ba9e-9d0fbc1540aa,Visakhapatnam,Jagdalpur,train,train_jagdalpur_visakhapatnam.geojson
5aebe23b-bf6f-4a88-a513-ed2cbf77ea60,Amsterdam,Alkmaar,train,train_netherlands.geojson
7add9ef0-244e-4e68-86ca-a93216da57dc,Amsterdam,Utrecht,train,train_netherlands.geojson
3684a9e8-796e-46c7-b929-3d214f05748f,Ediburgh,North Berwick,train,train_edinburgh_north_berwick.geojson
89525a08-98d3-4060-985c-bf9eaf927043,Jaipur,Jodhpur,train,train_jaipur_jodhpur_ajmer.geojson
0c612966-f768-415a-a3e1-7d0b64fcc5d8,Jaipur,New Delhi,train,train_jaipur_new_delhi.geojson
21ecf5d9-4022-4129-9cbb-3ec86999df04,London,Bath,train,train_london_bath.geojson
258661ac-14ef-4e07-916e-4a388d589404,London,Inverness,train,train_edinburgh_london.geojson
3abefed5-d9e0-4bab-a02a-15a0b0f47f3f,Muiderslot,Amsterdam,auto,3abefed5-d9e0-4bab-a02a-15a0b0f47f3f.geojson
70a92c33-6251-4729-8037-197117428fb0,Ambala,Amritsar,train,train_amritsar_ambala.geojson
7b313b2f-d602-4795-8f68-9193bb60765e,Sittard,Eindhoven,train,train_netherlands.geojson
0ffa1920-2f2f-45eb-a26c-b8e04a736d9c,Sittard,Nijmegen,train,train_netherlands.geojson
3bfde888-a0cf-4c0a-bd6f-40798974597a,"Salviusstraat, Limbricht",Geleen,auto,3bfde888-a0cf-4c0a-bd6f-40798974597a.geojson
4944962e-3b69-4e8b-ad7b-66bfa362aca2,"Washington, DC","Essex, Vermont",train,train_vermonter.geojson
4c06c804-544d-44e3-9957-7ff3a10c3382,Jagdalpur,Visakhapatnam,train,train_jagdalpur_visakhapatnam.geojson
30eb22e1-b1dc-42a0-92cd-04de0d5b75ad,Ollantaytambo,Machu Picchu,train,train_machu_picchu_ollantaytambo.geojson
080605de-fbf0-4512-9420-f66abb04fbc1,Cusco,Puno,train,train_cusco_puno.geojson
8cd32eeb-081d-454e-8e59-165d53efbb38,Edinburgh,Llandudno,auto,8cd32eeb-081d-454e-8e59-165d53efbb38.geojson
b642ec95-fd59-4a2a-af5a-c1d44f189dc6,Saqsaywaman,Ollantaytambo,auto,b642ec95-fd59-4a2a-af5a-c1d44f189dc6.geojson
627855bd-4aae-4e18-a866-1e03c9836a93,Ollantaytambo,Pisac Q'allaqasa,auto,627855bd-4aae-4e18-a866-1e03c9836a93.geojson
75ce3130-d8db-4f11-bbeb-08cdc4e0e13f,Sittard,"Salviusstraat, Limbricht",auto,75ce3130-d8db-4f11-bbeb-08cdc4e0e13f.geojson
fcaa8833-50ca-4816-a971-0b96368488e3,Geleen,Brussels,auto,fcaa8833-50ca-4816-a971-0b96368488e3.geojson
fd939e73-e322-46ec-9d0a-eff0a0a2504b,Geleen,Paris,auto,fd939e73-e322-46ec-9d0a-eff0a0a2504b.geojson
7528c84c-e250-414d-ae7a-d1693f8697cd,Amsterdam,Maastricht,train,train_netherlands.geojson
2d7bf421-3de1-4a02-af3e-3d0f2674e04f,New York,"Evanston, IL",auto,2d7bf421-3de1-4a02-af3e-3d0f2674e04f.geojson
3fb7c1ee-a02c-46ca-9b55-4b7bce7c2741,"Evanston, IL",Missoula,auto,3fb7c1ee-a02c-46ca-9b55-4b7bce7c2741.geojson
8e9fc389-fd22-4760-911e-37b0bba5daf2,Missoula,Seattle,auto,8e9fc389-fd22-4760-911e-37b0bba5daf2.geojson
52c666b6-1595-4d58-95b0-4e14f8f606a4,Seattle,Olympia,auto,52c666b6-1595-4d58-95b0-4e14f8f606a4.geojson
bcba28a5-a0fd-4d5e-988f-8e66ae01bc33,Olympia,Vancouver,auto,bcba28a5-a0fd-4d5e-988f-8e66ae01bc33.geojson
e74b0cdf-fa57-4933-b18d-bc79ba960831,Olympia,Portland,auto,e74b0cdf-fa57-4933-b18d-bc79ba960831.geojson
e19534f8-ca02-4c85-ad7e-5280e6bfe334,"Burlington, VT",Montreal,auto,e19534f8-ca02-4c85-ad7e-5280e6bfe334.geojson
