activity_id,trip_id,location_id,location_name,activity_type,route_path,description,notes
0c39a14a-6cdf-4525-afba-71df9e6a13ef,,ad1dad53-2402-46b1-82a5-86e75a52c6ef,Jay Peak,skiing,,,
a19730a9-0b4e-4495-ac12-3953076c45bc,,de6643db-625a-4cdb-9a6e-1f80a0b53505,"North Shore, St John",snorkeling,,,
81b604f5-4eb3-4d4a-ad60-97edcd43768c,,2a7788e7-a83f-4159-a4fe-4732ea56314c,Rio Pacuare,whitewater_rafting,,,
c6c0cc70-8d00-4297-ba82-47aff8260f5e,,e3b2028f-3884-437b-b42c-f00e771a7d7f,Mt Washington,hiking,,,
d97f3dbd-3ec6-47ef-a5e8-758ecd1b741a,,cd440d27-a7ac-4148-8ed5-2ebbc8b15481,Cerro Chirripo,hiking,,,
2cf57391-7925-4c70-a488-a3604c596f19,,75ab6859-2ba3-4ae2-8523-8d4b398d6559,Corcovado,hiking,,,
e1187797-ac10-45e8-856f-0ff70aad7982,,1c7dad02-5bab-4d20-a758-d49baa380582,Ometepe,hiking,,,
7200b974-3244-49a7-9164-85a8981d63e4,,3fd36b8f-b611-48b5-b695-00c42819da72,Volcan Tajumulco,hiking,,,
3443f5b1-a7e3-44ca-95f7-c55ff8a40bc7,,2d9a1398-d341-4970-85a6-02fe66d2f8da,Olympic Hot Springs,hiking,,,
4e09c9c7-69ff-4193-8059-937d0a3505ff,,4370dc0c-4328-4c6a-8fd0-c39044675229,Palisades Tahoe,skiing,,,
4da20c6a-b593-49d8-a0d7-722360ac457f,,be297e89-ad36-4beb-944b-c85786e176b2,Anegada,snorkeling,,,
94f95906-00dc-437b-999a-08cd14c06452,,c982192e-76e6-40b6-9ec0-690e2a67133a,Menjangan Island,snorkeling,,,
dafce1a1-4b80-425c-a9cd-9d26e465236b,,30267a98-a4a6-453a-abd5-ea5bcaee8d7d,Gunung Batur,hiking,,,
05426177-89d3-4d98-9abe-ee08a6e20244,,09aa3e9e-bdb4-4734-ad5b-dc84a84f12b4,Manali,paragliding,,,
2508151a-f318-4ed2-af55-1e9296cfbace,,3fd8340c-c85b-44b6-895d-7faa439b9924,Table Mountain,hiking,,,
968176de-1efa-4fb1-83dd-7014fd1f4f9e,,f465256c-3a01-4320-8fb8-73e07e5c6274,Mt Mansfield,hiking,,,
1c02bd77-0dba-467f-8707-ad549fb18b81,,9d96370c-39d3-426a-9435-b57fc6b315fb,Vieques,kayaking,,,
a2cb6cd1-e495-4e0c-9f4e-b7a5c7b5db1c,,3762f081-3b47-4c2a-986a-2296128426b4,Echo Lake,hiking,,,
da8a0184-02f1-4e72-904a-2270a33000fc,,d9f31ae6-5b57-49a5-bdfb-cb2d82e88659,"East End, St John",kayaking,,,
70bb0fee-970b-4207-b71a-7bdb4cf665a5,,69c2f6be-8494-4704-ba14-031e760a8b11,"Los Arbolitos, Municipio de Los Cabos, Baja California Sur, México",snorkeling,,,
e9152044-aada-42d6-83ee-f5b25735c970,,d69f229c-83e2-4c51-afd5-54684b0e5600,"Cabo Pulmo, Mexico",hiking,,,
534c1a4c-d85c-408a-8b44-9cc8cd7b36da,,7b4896b8-8b51-437d-bfbe-ca049d63f617,"Sugarbush, Vermont",skiing,,,
2a581ee3-c4de-4819-a2c9-dcd58820a2c7,,ed071243-f320-43f1-8ad0-0d6a1d738f4e,"Na Pali Coast, Hawai'i",hiking,,,
